document,0,1,2,3
0,0.92271453,0.07422229,,
1,0.99529505,,,
2,0.07447374,0.1416114,0.6578129,0.12610197
3,0.6371408,,0.08801618,0.27177173
4,0.9929738,,,
5,,0.6062081,0.38791472,
6,,,,0.9949776
7,,,,0.9911995
8,0.26251474,0.081331074,,0.65560883
9,,0.11133855,,0.8884445
10,,0.14516433,,0.85061365
11,,0.21804687,,0.78123665
12,0.99826306,,,
13,0.99798745,,,
14,0.4436487,,0.14362992,0.40902013
15,0.9670847,,,0.023162352
16,0.966389,,,0.031086272
17,0.7466816,0.027331095,0.14115463,0.08483273
18,0.9960473,,,
19,0.037300084,,0.9605983,
20,0.05826207,,0.8296229,0.108373664
21,0.85451305,,,0.14155306
22,0.8763455,,,0.12017472
23,0.9947344,,,
24,0.46410936,,0.11375268,0.41936612
25,0.97246236,,,0.025637323
26,0.09237896,0.54226655,0.29486588,0.07048861
27,0.711834,0.22631194,,0.060713753
28,0.9121314,,,0.08385272
29,,0.3779271,0.45061067,0.16965845
30,0.6446324,,0.14823784,0.20356563
31,,0.11511841,0.364382,0.5169828
32,0.99790883,,,
33,0.39138064,0.09074308,0.11616844,0.40170786
34,0.113980144,,0.884362,
35,0.046802063,0.7046337,0.16734435,0.081219845
36,0.11211948,0.12328755,0.41543624,0.3491567
37,,0.13795432,0.85812175,
38,0.717917,,,0.2772363
39,0.20094226,0.3414818,0.3711393,0.08643665
40,0.68031967,,0.07861027,0.23956689
41,,0.46012905,0.3371988,0.20126323
42,0.27186874,0.108887956,0.50171566,0.11752769
43,0.060756776,0.30708015,0.50430614,0.12785695
44,0.9673305,,,0.030394014
45,,0.0817599,0.76439124,0.15241605
46,,,0.80624205,0.1866195
47,,0.14849189,0.6641305,0.1853149
48,,0.11663025,0.58522266,0.2945387
49,0.041838184,0.3630169,0.08927715,0.5058678
50,0.37016064,0.097010165,0.12146315,0.41136602
51,0.946272,,0.049383298,
52,0.04717408,0.5817509,0.2686461,0.10242886
53,0.7161733,,,0.2787574
54,0.9493389,,0.047122687,
55,0.09984022,0.36930764,0.527973,
56,0.1191934,0.04291981,0.7335852,0.10430166
57,0.9970072,,,
58,0.04235666,0.08521472,0.7362225,0.1362061
59,0.43490136,0.19562744,,0.36586106
60,,0.16892362,0.3238422,0.5053055
61,,0.29652014,0.40059552,0.29971787
62,,,,0.99930483
63,0.99633443,,,
64,0.4221638,0.19667777,0.19286673,0.18829165
65,0.99984044,,,
66,0.9399787,,,0.054636296
67,0.28286797,0.21375225,0.4057875,0.097592264
68,0.102429174,0.11961613,0.5755357,0.20241898
69,0.9985768,,,
70,0.25777087,,,0.7358061
71,0.114389144,,0.16682026,0.71526265
72,0.41198307,0.29342127,0.079689525,0.21490614
73,0.07572366,0.09368117,0.36080098,0.46979418
74,0.17025207,,0.2685062,0.5587278
75,,,0.74290675,0.25699997
76,0.28126106,0.0932179,0.1339827,0.49153835
77,,,,0.9992926
78,,0.31637582,0.6763671,
79,0.20405664,0.14431314,0.23534185,0.41628838
80,,0.27879262,0.6388382,0.07983252
81,0.2684812,0.26439118,0.27516186,0.19196577
82,0.05779398,0.33888412,0.3833959,0.21992601
83,0.3717081,,0.096608765,0.52888775
84,0.5510378,0.099279284,0.102803364,0.24687955
85,0.121047325,,0.5751498,0.30140537
86,,0.16788486,0.5230172,0.3065419
87,,0.34470204,0.43289667,0.22039428
88,0.06210899,0.14787465,0.65149885,0.13851747
89,0.9976157,,,
90,0.9991208,,,
91,0.12239572,0.20969617,0.48536518,0.18254292
92,0.26404116,,0.29901984,0.4335323
93,0.8210837,,,0.17448592
94,0.18664189,,0.44959357,0.360779
95,0.99504495,,,
96,,0.07708463,0.69453377,0.22575097
97,,,,0.9991176
98,0.14075473,0.27987468,0.4761879,0.103182636
99,0.79628336,,,0.19675495
100,0.04232723,,0.38675937,0.5674551
101,,0.47928172,0.5139106,
102,0.19550952,0.41219142,0.39050522,
103,,0.17091915,0.6124946,0.21362351
104,0.22395337,0.28189847,0.3581773,0.13597089
105,0.111872174,0.19968191,0.61374724,0.074698664
106,0.1499775,0.1994241,0.612992,0.037606377
107,0.5499321,,0.06995351,0.3777385
108,0.04618358,0.4299865,0.5219833,
109,0.99741703,,,
110,0.041812435,0.39611554,0.18519013,0.3768819
111,0.10496061,0.17417508,0.49553198,0.22533235
112,0.06756196,,0.21955834,0.70960224
113,0.12225018,0.44664308,0.4289098,
114,0.8575321,,,0.13895757
115,0.05514598,0.20540589,0.6453704,0.0940777
116,0.639665,,0.1229234,0.23562118
117,0.956059,,,0.037081838
118,0.36427644,,0.33809024,0.29582655
119,0.0624542,0.26256028,0.5710675,0.10391796
120,,0.12242676,0.78925,0.08503415
121,0.07670222,0.14198725,0.525567,0.25574356
122,0.99739265,,,
123,0.6209632,,,0.37493598
124,0.994019,,,
125,0.069721505,,,0.92839956
126,0.37900272,,,0.6205375
127,0.75220644,,,0.24294706
128,0.99708146,,,
129,0.9959817,,,
130,,,,0.99939144
131,0.821284,0.07593432,,0.099445865
132,0.9975447,,,
133,,0.1992553,0.7607301,0.036568783
134,0.079977,0.3263859,0.4129315,0.18070564
135,0.32175404,0.4637807,0.21308036,
136,0.69229287,,,0.30204254
137,0.8982441,,,0.09798992
138,0.53080696,0.12320553,0.34356314,
139,0.08434667,0.42649356,0.17673014,0.31242964
140,0.2831481,,,0.7098976
141,0.9915436,,,
142,0.9984138,,,
143,0.69192153,,,0.30115867
144,0.25568426,0.45825106,0.28391793,
145,0.6779249,0.1050056,0.040235028,0.17683455
146,0.9476772,,,0.048964016
147,,0.19801033,0.739202,0.059836965
148,,0.46090758,0.42277518,0.113443755
149,0.96677744,,,0.03158995
150,0.90977705,0.08942173,,
151,0.80240655,,0.13980101,0.056535233
152,0.8883546,,,0.10660182
153,0.2918674,0.70362675,,
154,0.84201235,,,0.15486303
155,0.96734774,,,0.030006241
156,0.9553904,,,0.04273388
157,0.036799803,0.24552134,0.40432185,0.31335703
158,0.28120688,,0.15612875,0.56016713
159,,0.28782672,0.24403034,0.46591038
160,0.24368295,0.36968336,0.38482314,
161,0.69419956,,,0.30506074
162,0.95785344,,0.039564162,
163,0.9991383,,,
164,0.76362103,,,0.23029393
165,0.17658521,,0.6785524,0.14188112
166,0.09635687,,0.6052885,0.29632428
167,0.5784961,,,0.41428643
168,0.07717673,0.14935307,0.5501808,0.22328945
169,,0.3080642,0.5657977,0.123376526
170,0.94393754,,,0.052662555
171,,0.3399151,0.6545978,
172,,0.12079385,0.7452388,0.13045993
173,0.41676077,,0.110921115,0.46935764
174,,0.48553243,,0.51394945
175,,0.19072816,0.6185445,0.18723916
176,,0.16252963,,0.8367759
177,0.05441333,0.42278633,0.29400897,0.22879136
178,0.16950232,,0.1269394,0.69984955
179,0.053495828,,,0.94372284
180,0.99914527,,,
181,0.9951311,,,
182,0.90340954,,,0.09325322
183,0.72497386,0.22189859,0.051192086,
184,0.9980175,,,
185,0.16243167,0.26131353,0.48194546,0.09430932
186,,0.43955237,0.42617577,0.13173269
187,0.4577374,0.10793596,0.09368508,0.34064156
188,,0.35468736,0.63788056,
189,0.8468725,0.050118566,0.045082908,0.057926
190,0.37010974,,0.2668339,0.3597888
191,0.8778483,,0.042611107,0.07803823
192,,0.45821616,0.37776884,0.16072236
193,0.15848008,0.58221626,0.25761762,
194,0.8201874,,,0.17621611
195,0.56726223,0.07173583,0.080854945,0.280147
196,0.26365358,,0.1590851,0.5739738
197,0.2146186,0.096370876,0.5484646,0.14054592
198,0.045156844,0.28574133,0.20295924,0.4661426
199,0.77982116,,0.10918262,0.10870703
200,0.06768745,0.16893286,0.5810612,0.18231846
201,0.1447536,0.15218033,0.30025703,0.40280905
202,0.17941393,0.33475938,0.4832825,
203,,0.39008135,0.52602345,0.08098707
