topics,alpha,beta,Variational Lower Bound,Mean Cosine Similarity,Median Cosine Similarity
14,0.01,0.01,-17952545.81380081,0.403,0.4
14,0.01,0.31,-17947639.114016652,0.445,0.458
14,0.01,0.61,-17947336.762620732,0.444,0.443
14,0.01,0.9099999999999999,-17947438.67540028,0.442,0.436
14,0.31,0.01,-17944731.780642033,0.398,0.385
14,0.31,0.31,-17939504.892878056,0.438,0.447
14,0.31,0.61,-17940115.532762527,0.434,0.429
14,0.31,0.9099999999999999,-17940329.95119524,0.434,0.425
14,0.61,0.01,-17944851.288709402,0.42,0.427
14,0.61,0.31,-17940675.830237508,0.428,0.436
14,0.61,0.61,-17941409.44523549,0.423,0.428
14,0.61,0.9099999999999999,-17941824.903609872,0.425,0.437
14,0.9099999999999999,0.01,-17944851.539619207,0.41,0.413
14,0.9099999999999999,0.31,-17941404.62994218,0.413,0.425
14,0.9099999999999999,0.61,-17942364.508624792,0.414,0.4
14,0.9099999999999999,0.9099999999999999,-17942176.560138583,0.412,0.412
