topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS12,SBS13,SBS17b,SBS18,SBS26,SBS36,SBS37,SBS39,SBS40,SBS44
0,,,,,,,,0.9653238199936826,,,,,,,,
1,,,,,,,,,,,,,,,,0.9688765408177947
2,,0.8790966689969953,,,,,,,,,,,,,,
3,0.8087610986893231,,,,0.807892269244903,,,,,,,,,,,
4,,,0.8550780873065634,,,,,,,,,,,,0.8518181709355314,
5,,,0.8933362105713745,0.8242213877040601,,,,,,,,,,,0.8885591438670652,
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,0.863793740497537,,0.8404417010377807,,,,
8,,,,,,,,,,,,,,,,
9,,,0.8629227290469866,,,,,,,,,,,0.9201489697419006,0.8048540616562099,
10,,,0.895155054338035,,,0.8902369333164888,,,,,,,,,0.880514790624315,
11,,,,0.8669099330842861,,,0.8715471837222958,,,,0.8311123835030643,,0.8315303648343575,,,
12,,,,,,,,,,,,,,,,
13,,,,,,,,,0.9601887836898423,,,,,,,
