topic,SBS1,SBS2,SBS3,SBS6,SBS8,SBS12,SBS13,SBS17b,SBS18,SBS26,SBS30,SBS37,SBS39,SBS40,SBS44
0,,,,,,,,,,,,,,,
1,,,0.8407508013295809,,,,,,,,,,0.9010399465096721,,
2,,,,,,,0.919551607793323,,,,,,,,
3,,,,,,0.9195478296158052,,,,0.9158855389548548,,0.8455280842854368,,,
4,,,,,,,,,0.8065264615269092,,,,,,
5,,,,,,,,,,,0.9191453478792213,,,,
6,,,0.9140377616916232,,,,,,,,,,,0.8744685624719917,
7,,,,,,,,0.9538148564462148,,,,,,,
8,,,0.9026216302639215,,0.8907641276357828,,,,,,,,,0.889563614368861,
9,,,,,,,,,,,,,,0.8342426965210503,
10,,,,0.8185508859158022,,,,,,,,,,,0.8783202737557884
11,0.8730051325968894,,,,,,,,,,,,,,
12,,0.9098829528058462,,,,,,,,,,,,,
13,,0.8877107533783365,,,,,,,,,,,,,
