topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS12,SBS13,SBS17b,SBS26,SBS30,SBS37,SBS39,SBS40,SBS44
0,,,,,,,,,,,,,,,
1,,,,,,,,0.9888979499204028,,,,,,,
2,,,0.8774173322568808,,,0.8858115604367258,,,,,,,,0.8702400351709748,
3,,,0.9159349140019393,,,,,,,,,,0.9100663851480542,0.8412225552185904,
4,0.9546431314355577,,,,0.8760083536746814,,,,,,,,,,
5,,,,,,,,,0.9524582319465726,,,,,,
6,,,,,,,,,,,,,,0.8100232131178686,
7,,0.8289855146663648,,,,,,,,,,,,,
8,,,,0.8313281402600141,,,0.8641308512959727,,,0.8225728777515628,,0.8591013449488067,,,
9,,,,,,,,,,,,,,,0.9301382873862842
10,,,,,,,,,,,,,,,
11,,,,0.8124757962567208,,,,,,,,,,0.8091229245829807,
12,,,,,,,,,,,0.8789995461768796,,,,
13,,,0.8126187501313856,,,,,,,,,,,0.8980831468620045,
