topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS10b,SBS12,SBS13,SBS17b,SBS18,SBS26,SBS37,SBS39,SBS40,SBS44
0,,,,,,,,,,0.9561061027459307,,,,,,
1,0.9206088623052314,,,,0.8381127260278699,,,,,,,,,,,
2,,,,,,,0.8791111513893425,,,,,,,,,
3,,0.9800480160902132,,,,,,,,,,,,,,
4,,,,,,,,,0.9783205253088728,,,,,,,
5,,,,,,,,,,,,,,,,0.91225300978158
6,,,,,,,,,,,0.8615716786639885,,,,,
7,,,,,,,,0.924524379332771,,,,0.9205979437125074,0.835632909781333,,,
8,,,,,,,,,,,,,,,0.8256739573519886,
9,,,0.857295318702067,,,,,,,,,,,0.910761841017917,0.8131059401842532,
10,,,,0.8514206186979703,,,,,,,,,,,0.8615252828540333,
11,,,,,,,,,,,,,,,,
12,,,0.9262576369988768,,,0.8260892973116967,,,,,,,,,0.8722720710786083,
13,,,,,,,,,,,,,,,,
