topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS10b,SBS12,SBS13,SBS17b,SBS18,SBS30,SBS36,SBS37,SBS39,SBS40,SBS44
0,,0.8911731021159232,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,0.9206428843934444,,,,,
3,,,,,,,,,,0.9528532271789203,,,,,,,
4,,,,,,,,,,,,,,,,,0.9035801453923025
5,,,,,,,,,,,0.8971894679210564,,0.8088988745973977,,,,
6,0.9456105886104155,,,,0.8487196951937316,,,,,,,,,,,,
7,,,,0.8674459499665065,,,,0.8048395183573612,,,,,,0.8086938080083009,,,
8,,,,,,,,,,,,,,,,,
9,,,0.9216515591906038,,,,,,,,,,,,,0.8778305334510382,
10,,,,,,,,,0.9370898619006088,,,,,,,,
11,,,0.909845584255647,,,,,,,,,,,,0.866509348988264,0.8669530834250062,
12,,,0.8568405735004978,,,0.8682096383442506,,,,,,,,,,0.8971946198364467,
13,,,,,,,0.8976858354737651,,,,,,,,,,
