topic,SBS1,SBS3,SBS5,SBS6,SBS8,SBS12,SBS13,SBS17b,SBS26,SBS30,SBS39,SBS40,SBS44
0,,,,,,,,,,,,,
1,,,,,,,,,,,,,
2,,,0.9392192732554512,,,,,,,,,,
3,,,,,,0.9224798960101074,,,0.9547212855534978,,,,
4,,,,,,,0.8436880188800334,,,,0.8134683955184505,,
5,,,,,,,,,,,,,
6,,,,,,,,0.9463553094163354,,,,,
7,,,,,,,,,,0.9049609458096364,,,
8,,,,,,,,,,,,,0.9503039222382353
9,0.9592084627706724,,,0.8492335940459477,,,,,,,,,
10,,,,,,,,,,,,,
11,,0.9093491762441287,,,0.8004114508982277,,,,,,,0.877877880681586,
12,,0.863856464803691,,,0.8708297094424962,,,,,,,0.8790376124007233,
13,,,,,,,,,,,,,
