topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS7a,SBS8,SBS10b,SBS12,SBS13,SBS17b,SBS18,SBS26,SBS36,SBS37,SBS39,SBS40,SBS44,SBS60
0,,,0.8072104201547469,0.8896984659293563,,,,,,,,,,,,,0.8578531334131394,,
1,,,0.8960900606988661,,,,,,,,,,,,,0.9115874418348965,0.8252167061220067,,
2,,0.9172437472365328,,,,0.8269438729442976,,,,,,,,,,,,,
3,,,,,,,,,,,0.9475069754339733,,,,,,,,
4,0.9468468531675511,,,,0.8443127256512367,,,,,,,,,,,,,,
5,,,,,,,,,,,,0.9150149941696205,,0.8386238747322579,,,,,
6,,,0.873784731082968,,,,0.8979458837019435,,,,,,,,,,0.8697597494655536,,
7,,,,,,,,,,,,,,,,,,,0.8149326890252546
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,0.9443608603051705,
11,,,,,,,,,0.9235390502446883,,,,0.9422635400355935,,0.8007028868241214,,,,
12,,,,,,,,,,0.9349733138990244,,,,,,,,,
13,,,,,,,,0.9035994793847464,,,,,,,,,,,
