topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS10b,SBS13,SBS17b,SBS37,SBS39,SBS40,SBS44
0,,,,,,,,,,,0.8045601112562828,0.8140949609704128,
1,,,0.9054381193598015,,,0.8722789517855937,,,,,,0.8774337988990292,
2,,,,,,,,,,,,,
3,,,,,,,,,,0.8014972880950043,,,
4,,,,,,,,,,,,0.8226127373219928,
5,,,0.9249009717842197,0.8567571806751931,,,,,,,,0.8703007764234139,
6,,,,,,,,,0.9463610385697455,,,,
7,,,,,,,,0.9852069645131697,,,,,
8,,,,,,,,,,,,,
9,,0.8137362726393171,,,,,,,,,,,
10,,,,,,,0.8757470517989828,,,,,,
11,,,,,,,,,,,,,0.9029873525790097
12,,,,,,,,,,,0.8110056858920568,,
13,0.9629528557851219,,,,0.8760844764891526,,,,,,,,
