topic,SBS1,SBS2,SBS3,SBS6,SBS8,SBS10b,SBS12,SBS13,SBS17b,SBS26,SBS37,SBS39,SBS40,SBS44
0,0.9548064312221376,,,0.8355589498234033,,,,,,,,,,
1,,,0.8625907796185204,,,,,,,,,,0.8196583756613763,
2,,,,,,,0.9254965479035707,,,0.9448580447233417,0.8053137510125666,,,
3,,,,,,,,,0.9524422070455039,,,,,
4,,,,,,,,,,,,,,
5,,,0.9233787353824455,,0.8559331997382635,,,,,,,,0.8926064407676926,
6,,,,,,,,,,,,,,0.9355949804647088
7,,,0.8154126307028979,,,,,,,,,,0.8623920796290013,
8,,,0.8905051596703573,,,,,,,,,0.9022015505629982,0.8409356998288802,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,0.8209802159852092,,,,,,,,
12,,,,,,,,0.975892553329121,,,,,,
13,,0.86389341240822,,,,,,,,,,,,
