topic,SBS2,SBS3,SBS5,SBS8,SBS13,SBS17b,SBS39,SBS40,SBS44
0,,,,,,,,,0.9672588338592467
1,,,,,,,,,
2,,,,,,0.95202105571624,,,
3,0.8622422243408894,,,,,,,,
4,,,,,,,,,
5,,0.8561419017496044,,,,,0.8769203856836675,0.817500433460898,
6,,0.9225245167733387,,0.8039319704875665,,,,0.8794665519139828,
7,,0.8557834744075731,,0.8766021774753244,,,,0.8612788737866379,
8,,,,,,,,,
9,,0.8570824173254677,0.8378236332463371,,,,,0.8365653489278934,
10,,,,,0.9852601412548203,,,,
11,,0.8058206643811728,,,,,,0.9210296128586052,
12,,,,,,,,,
13,,,,,,,,,
