topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS12,SBS13,SBS17b,SBS26,SBS30,SBS39,SBS40,SBS44
0,,0.847859865198413,,,,,,,,,,,,
1,0.9384536526363421,,,,0.837549260028275,,,,,,,,,
2,,,,,,,,0.9892892241142702,,,,,,
3,,,,,,,,,,,,,0.8691448182292211,
4,,,,,,,,,,,,,,
5,,,0.9200387342386893,,,,,,,,,0.8797331024602847,0.8541202184865431,
6,,,0.8495329734897915,,,0.9319295540724003,,,,,,,0.8410561920619373,
7,,,0.8707005985777084,,,,,,,,,0.8093700455886115,0.852828393724388,
8,,,,,,,0.9204563178161134,,,0.9448206718468496,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,0.9436259981604078
11,,,,,,,,,,,,,,
12,,,,0.8191252383243743,,,,,,,0.8389086330716622,,0.8177066396648408,
13,,,,,,,,,0.9496711522180122,,,,,
