topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS10b,SBS12,SBS13,SBS17b,SBS18,SBS26,SBS30,SBS36,SBS37,SBS39,SBS40,SBS44
0,,,,,,,,,,,0.9257204923272762,,,0.8625465326450503,,,,
1,0.9330916035515493,,,,0.8269785405027418,,,,,,,,,,,,,
2,,0.8500945711910302,,,,,,,,,,,,,,,,
3,,,,,,,,0.9289037126484758,,,,0.9552252313013812,,,0.805534420674823,,,
4,,,,,,,,,,,,,0.8973518936692179,,,,,
5,,,,,,,,,,0.9515519613264849,,,,,,,,
6,,,,,,,,,,,,,,,,,,
7,,,,,,,0.8091324225355269,,,,,,,,,,,
8,,,0.9430512317513698,,,,,,,,,,,,,0.8817701473981527,0.8724197781562677,
9,,,,,,,,,0.9845820132570916,,,,,,,,,
10,,,,0.8544649275752819,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,0.9144684873536656
12,,,0.8954079187039721,,,0.8763556636953747,,,,,,,,,,,0.8841613283325093,
13,,,,,,,,,,,,,,,,,0.8294211628848858,
