topic,SBS1,SBS3,SBS5,SBS6,SBS8,SBS10b,SBS12,SBS13,SBS17b,SBS18,SBS26,SBS30,SBS36,SBS39,SBS40,SBS43,SBS44,SBS60
0,,0.9366407700927916,0.8084870133913175,,,,,,,,,,,0.8642553430972861,0.8674228273996937,,,
1,,,,,,,,,,0.9306763148593185,,,0.8564155512471137,,,,,
2,,,,,,,,,,,,,,,0.801023835148881,,,
3,,,,,,,,,0.9504841470453347,,,,,,,,,
4,,,,0.8045318312730461,,,,,,,,,,,,,0.910798342886068,
5,0.9096665803084539,,,0.8268456919505534,,,,,,,,,,,,,,
6,,,,,,,,,,,,0.8807941961591111,,,,,,
7,,,,,,,0.9312742217621285,,,,0.958857457983553,,,,,,,
8,,,,,,,,0.9628274352830917,,,,,,,,,,
9,,,,,,0.8996039294550477,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,0.8247121824788374,,0.8237203812228181
12,,0.9115015744224595,,,0.8695051514778106,,,,,,,,,,0.8713286563278743,,,
13,,,,,,,,,,,,,,0.8130401862481017,0.8156483208433233,,,
