topics,alpha,beta,Variational Lower Bound,Mean Cosine Similarity,Median Cosine Similarity
4,0.01,0.01,-1053063.5957219824,0.654,0.818
4,0.01,0.31,-1051704.0774022173,0.716,0.673
4,0.01,0.61,-1051622.295277942,0.766,0.758
4,0.01,0.9099999999999999,-1051604.027955925,0.791,0.821
4,0.31,0.01,-1053072.3203108758,0.583,0.815
4,0.31,0.31,-1051514.4353441745,0.779,0.775
4,0.31,0.61,-1051844.5944298804,0.779,0.822
4,0.31,0.9099999999999999,-1051839.9506655335,0.785,0.818
4,0.61,0.01,-1053054.5969016552,0.668,0.795
4,0.61,0.31,-1051675.8469321728,0.772,0.794
4,0.61,0.61,-1051534.8987075686,0.788,0.785
4,0.61,0.9099999999999999,-1051505.11095196,0.794,0.783
4,0.9099999999999999,0.01,-1053020.4441080391,0.707,0.772
4,0.9099999999999999,0.31,-1051788.6823873818,0.716,0.783
4,0.9099999999999999,0.61,-1051653.5057373047,0.769,0.777
4,0.9099999999999999,0.9099999999999999,-1051621.911930859,0.787,0.774
