document,0,1,2,3
0,0.8071234,0.110421486,0.042355526,0.040099554
1,0.5785719,0.21920352,0.10429033,0.09793428
2,0.6011149,0.030521318,0.22678894,0.14157481
3,0.13682951,0.035798173,0.7001753,0.12719706
4,0.4683718,0.13599055,0.23842627,0.15721138
5,0.40234742,0.18519224,0.2161381,0.19632225
6,0.37688377,0.029945603,0.046249673,0.54692096
7,0.72721344,0.012697081,0.061189152,0.19890028
8,0.870992,,0.12047266,
9,0.8952412,,0.09562984,
10,0.76845396,,0.17876577,0.05157715
11,0.6404136,,0.27034682,0.087771714
12,0.50208884,,0.16294423,0.33315203
13,0.9212935,,0.05042241,0.025398245
14,0.8644221,,0.09510855,0.03726244
15,0.7796735,,0.17361751,0.044373047
16,0.9443244,,0.04391833,
17,0.96080506,,0.031805385,
18,0.6819974,,0.30626458,
19,0.973693,,0.01814319,
20,0.85108024,,0.1391721,
21,0.7570341,,0.12892666,0.11011911
22,0.83696765,,0.015494981,0.14511386
23,0.858181,,0.016857063,0.12066648
24,0.6364864,,0.18808195,0.17282812
25,0.8953841,,0.018664144,0.08311972
26,0.94295925,,0.034605652,0.020231504
27,0.9391675,,0.023497285,0.035012957
28,0.9537039,,0.022142468,0.021601558
29,0.94324744,,0.011755137,0.043747853
30,0.81197894,,,0.18427932
31,0.9782361,,0.014725217,
32,0.92505014,,,0.06875551
33,0.928148,,0.029369399,0.04175794
34,0.86867964,,0.011998534,0.11881701
35,0.87014717,,0.04902462,0.08022747
36,0.9737596,,0.020217976,
37,0.93702525,,0.055770382,
38,0.87005204,,0.1019053,0.027737016
39,0.7624119,,0.23388469,
40,0.74260545,,0.25108424,
41,0.79761016,,0.19665754,
42,0.7287431,,0.25942495,0.011657448
43,0.7033315,,0.27176583,0.024745746
44,0.685019,,0.3073492,
45,0.67961204,,0.278633,0.041488428
46,0.6629232,,0.31073782,0.02607546
47,0.6580709,,0.3405932,
48,0.60750586,,0.39065608,
49,0.55211455,,0.4021821,0.045547493
50,0.50230026,,0.48616424,0.011405188
51,0.43232098,,0.5509722,0.016604211
52,0.39994025,,0.5666876,0.033280063
53,0.30535963,,0.6298062,0.06472558
54,0.23255941,,0.6641948,0.10314666
55,0.28418434,,0.55785704,0.15785007
56,0.24983472,,0.54644924,0.2036086
57,0.21487908,,0.4962247,0.2887935
58,0.20873657,,0.5241524,0.2669806
59,0.15215848,,0.4082438,0.43946353
60,0.100552015,,0.41821977,0.4810733
61,0.15105955,,0.25229007,0.5965184
62,0.19042338,,0.29662627,0.5127659
63,0.2197944,,0.239026,0.5410057
64,0.26117867,,0.17842333,0.56022733
65,0.25986916,,0.16787562,0.57209647
66,0.22782326,,0.12014065,0.6518408
67,0.21311976,,0.16713664,0.6194978
68,0.21824598,,0.08671404,0.694765
69,0.21977066,,0.14376794,0.63618135
70,0.22888277,,0.12089455,0.6498651
71,0.22732773,,0.33887652,0.43342283
72,0.20481904,,0.3243778,0.470387
73,0.12940328,,0.33394372,0.53624344
74,0.10905145,,0.34499007,0.54551035
75,0.15087812,,0.5931171,0.2555776
76,0.1818075,,0.64316785,0.174593
77,0.09492297,,0.68369,0.22092722
78,0.10546432,,0.6508771,0.24307989
79,0.10909757,,0.68667483,0.20377256
80,0.07115455,,0.6844491,0.2437407
81,0.027945403,,0.6380165,0.33324236
82,,,0.8082328,0.18744685
83,,,0.467279,0.527013
84,0.011764495,,0.504545,0.48180252
85,0.03556082,0.02258062,0.8509461,0.09091238
