document,0,1,2,3
0,,,0.99895865,
1,0.026237505,0.12451584,0.8470862,
2,0.13213412,0.026477795,0.6785976,0.16279043
3,,,0.9987754,
4,0.29997933,0.05544968,0.46841905,0.17615193
5,0.048577663,,0.95027906,
6,0.120531686,0.07895783,0.7448881,0.055622343
7,0.6464787,,0.35103345,
8,0.052332688,0.057940885,0.6853317,0.20439473
9,0.8531251,,0.14505814,
10,0.19668503,0.11291584,0.65025896,0.04014021
11,0.71889645,0.03238508,0.24675867,
12,0.23491499,0.086795434,0.6764331,
13,0.62084043,0.034946103,0.34216404,
14,0.06072135,0.08458826,0.8528355,
15,0.28898704,0.03874565,0.67012817,
16,0.10557268,0.18244939,0.62464494,0.08733296
17,,0.033922,0.84911877,0.114514254
18,0.30785924,0.08710281,0.6021294,
19,0.29398924,0.03846647,0.6294341,0.03811013
20,0.11771928,0.14108273,0.73924094,
21,0.12603393,0.123367414,0.74855715,
22,0.11018803,0.15886295,0.67822564,0.052723356
23,0.23623785,0.28649506,0.4238123,0.053454787
24,0.08377377,0.18789187,0.7257878,
25,0.16358997,0.04503911,0.76445675,0.02691419
26,0.124443755,0.060533136,0.8114088,
27,0.034212396,,0.96121186,
28,0.028835244,0.30776978,0.6620414,
29,0.047094606,,0.9112215,0.040011052
30,0.061639983,0.2616654,0.6743103,
31,0.19883564,0.045396972,0.68955153,0.06621582
32,0.159238,0.092321545,0.7014333,0.04700716
33,0.14275645,0.14883015,0.66568613,0.04272726
34,0.68713266,0.09870575,0.2127773,
35,,,0.99870986,
36,0.110813774,0.07305924,0.71918744,0.096939474
37,0.15506324,0.06624246,0.6597566,0.118937686
38,0.29176444,,0.7029979,
39,0.32171106,0.08114217,0.59572846,
40,0.38191658,,0.61534685,
41,0.04432409,0.058427777,0.89431936,
42,0.19599317,0.1471712,0.53752166,0.11931401
43,0.2640617,0.068673834,0.66532975,
44,0.5160081,0.06303722,0.34072194,0.08023275
45,,,0.99836785,
46,0.041072555,0.07697803,0.87938005,
47,0.45374197,0.020121802,0.47548315,0.050653078
48,0.015706403,0.12072618,0.8617482,
49,0.76708156,0.042103235,0.18988353,
50,0.11822238,0.28013194,0.47902006,0.12262559
51,0.17463605,0.11537269,0.5725864,0.1374048
52,0.15696365,0.08163216,0.58545125,0.17595299
53,,0.047418464,0.87216884,0.07847165
54,0.18969442,,0.7523483,0.05516309
55,0.056074984,0.20036632,0.74002063,
56,0.29746705,0.05086098,0.545284,0.106388
57,0.16994256,0.6799089,0.14940006,
58,0.5679385,0.022709956,0.4078865,
59,0.2346408,0.054651644,0.7082219,
60,0.3023941,0.029803248,0.5870067,0.08079596
61,0.094597265,0.17054318,0.7317803,
62,0.20289142,0.13605827,0.5874166,0.0736337
63,0.17470053,0.20161892,0.6219005,
64,0.31054518,,0.6869553,
65,0.058315877,0.18139061,0.75772077,
66,0.43221676,,0.5606808,
67,0.050267734,,0.94267076,
68,0.17619602,0.071365945,0.74947023,
69,0.9134129,0.029088322,0.056179184,
70,0.07810052,0.10634952,0.81324923,
71,0.16563955,,0.83018523,
72,0.12333197,0.026608523,0.8121822,0.037877284
