Extracted Signatures,COSMIC Signature,Cosine Similarity
0,SBS1,
1,SBS1,
2,SBS1,
3,SBS1,
4,SBS1,
5,SBS1,0.8796516863826586
6,SBS1,
7,SBS1,
8,SBS1,
0,SBS2,
1,SBS2,0.9716872605695772
2,SBS2,
3,SBS2,
4,SBS2,
5,SBS2,
6,SBS2,
7,SBS2,
8,SBS2,
0,SBS3,
1,SBS3,
2,SBS3,
3,SBS3,
4,SBS3,0.8293932141018299
5,SBS3,
6,SBS3,
7,SBS3,0.8021868819316699
8,SBS3,
0,SBS4,
1,SBS4,
2,SBS4,
3,SBS4,
4,SBS4,0.8922491039554528
5,SBS4,
6,SBS4,
7,SBS4,
8,SBS4,
0,SBS5,
1,SBS5,
2,SBS5,
3,SBS5,
4,SBS5,
5,SBS5,
6,SBS5,
7,SBS5,0.8650611209218507
8,SBS5,
0,SBS6,
1,SBS6,
2,SBS6,
3,SBS6,
4,SBS6,
5,SBS6,0.8366530884308357
6,SBS6,
7,SBS6,
8,SBS6,
0,SBS7a,
1,SBS7a,
2,SBS7a,
3,SBS7a,0.8480831829490052
4,SBS7a,
5,SBS7a,
6,SBS7a,
7,SBS7a,
8,SBS7a,
0,SBS7b,
1,SBS7b,
2,SBS7b,
3,SBS7b,0.9740041098945572
4,SBS7b,
5,SBS7b,
6,SBS7b,
7,SBS7b,
8,SBS7b,
0,SBS8,
1,SBS8,
2,SBS8,
3,SBS8,
4,SBS8,0.8197961505156547
5,SBS8,
6,SBS8,
7,SBS8,
8,SBS8,
0,SBS38,
1,SBS38,
2,SBS38,0.8940468744790118
3,SBS38,
4,SBS38,
5,SBS38,
6,SBS38,
7,SBS38,
8,SBS38,
0,SBS40,
1,SBS40,
2,SBS40,
3,SBS40,
4,SBS40,0.8540048338023406
5,SBS40,
6,SBS40,
7,SBS40,0.8652455171250246
8,SBS40,
0,SBS43,
1,SBS43,
2,SBS43,
3,SBS43,
4,SBS43,
5,SBS43,
6,SBS43,0.8624280743280437
7,SBS43,
8,SBS43,
0,SBS45,
1,SBS45,
2,SBS45,0.935583349924206
3,SBS45,
4,SBS45,
5,SBS45,
6,SBS45,
7,SBS45,
8,SBS45,
