document,0,1,2,3,4,5,6,7,8
0,,,0.022061702,0.7750848,0.02281465,0.14438955,,0.017422667,
1,,0.03222215,0.019840542,0.037065,0.023797886,0.06573238,0.77020586,0.035808682,0.010557713
2,0.05792563,,0.01295012,0.01868522,0.016491385,0.08187725,0.73668337,0.02372776,0.04610103
3,0.19161335,0.012549851,0.020195879,0.034834906,0.013599695,0.08891745,0.6001243,0.019987568,0.018176984
4,,0.020776019,,0.0405307,0.025837805,0.08240296,0.69840044,0.06263725,0.058730222
5,,0.010136451,0.021358166,0.051533382,0.03545915,0.33600622,0.24185629,0.10840556,0.1892667
6,0.19161454,0.03658577,0.012139831,0.046557892,0.028534137,0.5790098,0.013490019,0.031971492,0.060096566
7,0.01515236,0.02061831,0.094206035,0.027819153,0.12573758,0.1354162,0.017625459,0.31638658,0.24703833
8,0.013073558,0.018436424,0.105643585,0.046588287,0.032278463,0.6865061,0.020159515,0.06279429,0.014519815
9,0.032088008,0.011018257,0.023090646,0.019061944,0.46613374,0.09925097,0.022229949,0.13858926,0.18853721
10,0.87352306,0.019488577,,0.026428673,,0.04213959,,,0.017040813
11,0.8050933,0.057033163,,0.051644903,,0.058669016,,,
12,0.09835434,0.014914432,0.014467147,0.111494206,0.030913768,0.31983823,0.025865983,0.26980326,0.114348665
13,0.16650248,0.059650194,0.06664137,0.10762699,0.124462835,0.29533416,0.016927239,0.026514575,0.13634013
14,0.017222974,0.046442155,0.14565325,0.03773597,0.30176413,0.08211416,,0.023796465,0.34025767
15,0.062353574,0.02755569,0.07849395,0.07267821,0.07217921,0.11539973,0.013211752,0.1805569,0.37757105
16,0.014239155,0.06244095,0.017973816,0.0426602,0.0380946,0.26376626,0.051140565,0.39273784,0.11694658
17,0.0183734,0.01687194,0.13652025,0.059701797,0.2312434,0.03389948,0.03912779,0.09553162,0.3687303
18,0.094602354,0.1110812,0.081481606,0.07634326,0.14070006,0.19134532,0.024222756,0.1036955,0.17652792
19,0.024704915,0.02347044,0.09372758,0.026854789,0.27233315,0.08774595,0.0412919,0.07324832,0.356623
20,0.028962001,0.027279792,0.039169025,0.014964801,0.03286745,0.10561224,0.04063519,0.24286646,0.46764305
21,0.020843571,0.056142617,0.030532604,0.07078128,0.027311794,0.64247125,0.0332506,0.06071295,0.057953294
22,0.16370772,0.02203611,0.027730793,0.010644613,,0.57012755,0.011100855,,0.17871206
23,0.75668365,0.01213679,,0.04714292,,0.15524527,,,0.012411812
24,0.020018289,0.019017672,0.06412464,0.055002116,0.34014994,0.05334715,0.010569618,0.123846926,0.31392363
25,,0.048804153,0.054899238,0.062217195,0.2072372,0.0813713,,0.122981556,0.4048385
26,0.62398535,0.055367246,0.013077683,0.11316854,,0.15363842,,0.011954124,0.012675496
27,0.044560615,0.03429622,,0.2669546,0.053676352,0.026832651,0.5044601,0.022505164,0.039851584
28,,,0.05205288,0.010111345,,0.8576418,0.051790375,,
29,0.03145389,0.013319547,0.010535957,0.039195467,0.012629063,0.18206602,0.5010478,0.070685856,0.13906643
