document,0,1,2,3,4
0,,0.6167904,,,0.3758458
1,,0.8630036,,0.1319882,
2,,0.04722877,,,0.9450869
3,0.05689898,0.36021364,,,0.5757991
4,,0.094130546,,,0.8963989
5,,,,0.12670143,0.8626715
6,0.05445775,0.16120373,,,0.7780378
7,,0.21822354,,,0.77093935
8,,,,,0.9873151
9,,0.17479643,,,0.815554
10,,,,,0.9980313
11,,0.10689166,,,0.88370234
12,,0.17407383,,0.2597097,0.5591224
13,,,,,0.99143565
14,,0.07636602,,,0.9143066
15,0.018071244,,,,0.97995234
16,,0.12202621,,,0.8691145
17,,0.2309065,,,0.75994366
18,,,,,0.9886874
19,,,,,0.9857128
20,,0.1473863,,,0.84173936
21,,0.8750196,,0.123497486,
22,,0.15167207,,0.2420078,0.60030967
23,,0.1506347,,,0.8396054
24,0.04948695,0.19633578,,,0.74782586
25,,,,0.06605128,0.92516214
26,,0.1470231,,,0.8428504
27,,0.09013739,,,0.8991775
28,,0.081330046,,,0.9100828
29,,0.21965787,,0.61253995,0.16137864
30,,,0.032151252,,0.960653
31,,0.1888476,,0.0998014,0.70460016
32,,0.4238654,,,0.5664421
33,0.039498974,0.07863344,,,0.87576854
34,,0.21430354,,,0.7749696
35,,0.2516445,,,0.7392481
36,,0.07049048,,0.17411725,0.7488415
37,,0.2058211,,0.1379895,0.6497826
38,,0.08281427,,0.3461808,0.5642037
39,,0.12786578,,,0.8631363
40,0.07217346,0.10774095,,,0.81511873
41,,0.23364902,,,0.75747937
42,,0.2799942,,,0.7101728
43,,0.14101093,0.1765099,,0.68234223
44,0.012162856,,0.13487896,,0.85165393
45,0.017518466,,0.26562747,0.10879967,0.6078793
46,0.024417307,0.05656684,0.32505566,0.04525296,0.54870725
47,,0.04558424,0.95205927,,
48,,,0.99798834,,
49,0.10739926,,0.18399149,0.17844535,0.5299503
50,0.01535872,,0.05341301,0.17296576,0.75800073
51,,,0.26891494,0.18422109,0.5458866
52,0.33410296,,0.071472235,0.12192439,0.47239557
53,0.9002491,,,,0.099623814
54,,0.04889307,0.029525641,,0.9214207
55,,,0.12955502,,0.86105156
56,0.012662722,,0.84154904,0.14455669,
57,0.021077767,,0.25925237,0.10208147,0.6173756
58,0.4522426,,0.11007472,0.07088731,0.36668366
59,0.70511854,,0.018985396,0.030609809,0.24521764
60,0.6098423,,0.017269649,0.017007167,0.35584274
61,0.029903846,,0.08828709,0.059272155,0.82243675
62,,,0.13395393,,0.85164076
63,0.029211346,,0.2417539,,0.7287965
64,,,0.01259532,,0.9816284
65,,,0.050452493,,0.94944036
66,0.04311036,,0.18765968,0.026407983,0.7427631
