,Num Topics,Mean Cosine Similarity,Median Cosine Similarity,Coherence cv,Coherence umass,Perplexity,Variational Lower Bound,Time(s)
0,2,0.678,0.678,0,0,0,-4017606.088500917,187.633789
1,4,0.457,0.562,0,0,0,-3973047.096021652,351.496133
2,6,0.476,0.481,0,0,0,-3963572.748713672,473.7943
3,8,0.471,0.471,0,0,0,-3959949.5384662747,500.776136
4,10,0.401,0.476,0,0,0,-3957265.8766388297,494.985268
5,12,0.49,0.485,0,0,0,-3954828.765182674,587.987205
6,14,0.415,0.421,0,0,0,-3951478.8620125055,633.02396
7,16,0.444,0.427,0,0,0,-3954846.4766590595,605.979389
8,18,0.473,0.418,0,0,0,-3951805.761563182,663.665671
9,20,0.471,0.44,0,0,0,-3952220.8252550364,674.605013
10,22,0.534,0.471,0,0,0,-3952447.203051746,686.137913
11,24,0.622,0.501,0,0,0,-3952926.528247595,676.514005
12,26,0.683,0.517,0,0,0,-3953391.114666462,670.009137
13,28,0.699,0.523,0,0,0,-3953486.766181171,674.369521
