,Num Topics,Mean Cosine Similarity,Median Cosine Similarity,Coherence cv,Coherence umass,Perplexity,Variational Lower Bound,Time(s)
0,2,0.653,0.653,0,0,0,-4619560.444673181,277.366877
1,4,0.69,0.622,0,0,0,-4604004.173595309,1001.446643
2,6,0.723,0.642,0,0,0,-4601919.54054904,1418.915377
3,8,0.565,0.502,0,0,0,-4600679.972287536,1747.167078
4,10,0.613,0.526,0,0,0,-4600905.8929947615,1461.579369
5,12,0.569,0.467,0,0,0,-4600613.534929872,1340.830853
6,14,0.504,0.438,0,0,0,-4600670.19609946,1363.390085
7,16,0.635,0.498,0,0,0,-4601405.4341852665,1469.182186
8,18,0.537,0.435,0,0,0,-4601903.062539041,1497.95517
9,20,0.607,0.528,0,0,0,-4602554.0452875495,2012.978723
10,22,0.667,0.532,0,0,0,-4602424.411726177,1493.75434
11,24,0.597,0.479,0,0,0,-4603141.569506288,1448.165501
12,26,0.592,0.469,0,0,0,-4603611.229316056,1457.879132
13,28,0.653,0.504,0,0,0,-4603647.051097095,958.272422
