topics,alpha,beta,Variational Lower Bound,Mean Cosine Similarity,Median Cosine Similarity
12,0.01,0.01,-4602790.1926988065,0.404,0.365
12,0.01,0.31,-4600714.275947325,0.544,0.643
12,0.01,0.61,-4600585.976635136,0.579,0.7
12,0.01,0.9099999999999999,-4600724.725660808,0.604,0.694
12,0.31,0.01,-4603242.103757501,0.351,0.279
12,0.31,0.31,-4601858.147557497,0.567,0.631
12,0.31,0.61,-4601337.665843606,0.606,0.659
12,0.31,0.9099999999999999,-4600415.741903186,0.59,0.731
12,0.61,0.01,-4604702.870230556,0.478,0.45
12,0.61,0.31,-4601122.721631527,0.505,0.533
12,0.61,0.61,-4600803.86555028,0.541,0.583
12,0.61,0.9099999999999999,-4600824.494077206,0.564,0.641
12,0.9099999999999999,0.01,-4604723.951643825,0.571,0.652
12,0.9099999999999999,0.31,-4601608.807887554,0.593,0.659
12,0.9099999999999999,0.61,-4601338.955484629,0.606,0.671
12,0.9099999999999999,0.9099999999999999,-4601294.660522938,0.616,0.688
