document,0,1,2,3,4,5,6,7,8,9,10,11
0,0.6442885,,,,0.30963793,,0.010293797,0.019695992,,,,0.013616581
1,,,0.11297014,0.026154956,0.6280251,,0.08348127,,0.078379124,0.057619713,,
2,,0.16022126,,0.078781985,0.4542036,,0.15029484,0.14079006,,,,
3,0.49536365,,,,0.484227,,,0.016664112,,,,
4,,,0.16834462,0.03473075,0.13734376,0.52372056,,,,,0.08335703,0.041828174
5,0.6281898,0.018676683,,,0.29121572,,,0.05717116,,,,
6,,,,0.039044637,0.48369628,0.39100647,,,,,,0.06009926
7,,,,0.012281762,0.2944125,,,0.52058333,,0.16257545,,
8,,0.15569869,,0.032535397,0.4267539,,0.2844977,0.06674878,,,,0.022437798
9,,,,0.047505308,0.11478921,,,0.51432824,,0.14532325,0.1717215,
10,,,,0.14700636,0.2919457,,0.28886327,0.17119598,,,,0.08819436
11,0.09910874,,,0.03673467,0.13242963,,,0.56498677,0.03323629,0.12164743,,
12,,,,0.030350277,0.5560649,,0.08009947,0.18258752,0.030411158,0.07567885,,0.036093313
13,0.05506513,,,,0.2641434,,,0.47602114,0.029202703,0.16144396,,
14,,,,0.061257,0.58648354,,0.20178781,0.06880828,,,,0.06869041
15,,,,0.07274634,0.5558752,,,0.13747834,,0.2170631,,
16,,0.084718674,,,0.5096268,0.10287874,,,0.1447084,0.13599648,,
17,,0.11202886,,0.104732275,0.5861174,,0.13847335,,,0.04415593,,
18,0.049418718,,,,0.351674,,0.1768128,0.23206395,0.027671814,0.08499673,,0.06346592
19,,0.045786995,,,0.5526688,,,0.13951099,,0.20173742,,0.04170457
20,,,,,0.37020314,,0.38359696,,0.06485733,0.16632086,,
21,,0.01950277,,0.1161814,0.5946129,,,0.13888146,,,,0.11726839
22,,0.06119584,,0.06853334,0.40486768,,0.22914574,0.0528362,0.08602951,,0.08359516,
23,,,,0.15892813,0.1918795,,0.22737922,0.089718424,0.1501528,0.1676022,,
24,,0.022108303,,,0.6752085,,,0.05636333,0.060497403,,0.048758395,0.12242228
25,,,,0.12141013,0.4719051,,0.22354913,0.10855598,,,0.06270962,
26,,,0.100984655,,0.64240205,,,,0.037932467,0.11172801,0.08243782,
27,0.27240503,0.06505425,,0.053892158,0.5107071,,,,,,0.081589915,
28,0.2379024,,,0.32833594,0.16149612,,,,0.20077272,,0.061868925,
29,,0.06668961,,0.050921105,0.7308637,0.095816806,,0.043912333,,,,
30,,0.031864654,,0.056026652,0.40455118,,0.25383487,,0.15056944,,0.0899908,
31,,0.07360235,,,0.57952976,,,,,0.19965968,0.065341964,0.060158048
32,,0.042007193,,0.087299906,0.5128677,,0.07419349,,0.04924541,0.21891122,,
33,,,0.20787278,0.09917418,0.3480406,,,0.12441046,,,,0.20062964
34,0.06609713,,,0.0557865,0.106079265,,,0.33322823,0.05754682,0.13007686,0.22022308,0.025212782
35,0.536583,,,0.084691174,0.35712576,,,,,0.01801939,,
36,,0.10328176,,0.117601484,0.40162736,,0.23016414,0.11462953,0.016223839,,,
37,0.06325791,0.13579543,,0.028898802,0.46820086,,,,0.048697013,0.23946275,,
38,,,,0.060926214,0.41564772,,0.15107083,,,0.17255625,0.18171012,
39,,,,0.074041344,0.39930165,,0.09450374,0.14708816,0.04841196,0.2280605,,
40,0.042674266,,,0.030506479,0.4107429,,0.06917837,0.048817888,,,0.38976505,
41,0.08033784,,,,0.6856928,,,0.06344815,,,,0.14666921
