document,0,1,2,3,4,5,6,7,8,9,10
0,0.644658,,,,0.33757418,,,,0.014610769,,
1,,,,0.06800866,0.67512655,,0.049910016,,0.045407094,0.04102112,0.107489
2,,0.09063255,,,0.43673757,0.12652856,,0.17146698,0.15928744,,
3,0.48483306,,,,0.49898306,,,,0.0125026405,,
4,,0.023922049,0.1775949,,0.115156844,,0.25962654,,,0.021343132,0.3919437
5,0.6152215,,0.06305402,,0.29589292,0.02125511,,,,,
6,,,0.113951795,,0.45272484,0.051493213,,,,0.055910837,0.303724
7,,,0.30431882,,0.29051855,,,,0.39382905,,
8,,0.114494815,,,0.39703414,0.12749276,,0.281308,0.06664731,,
9,,0.05762593,0.56679696,,0.10608551,,,,0.26238754,,
10,,0.17230876,,,0.25715145,,,0.39053443,0.16558485,,
11,0.039030373,0.055259656,0.43704593,0.033891365,0.14913587,,,,0.27416712,,
12,,0.05738763,0.08737962,0.02071096,0.53546125,0.046646535,,,0.17526287,0.06876518,
13,,,0.31743324,0.029986309,0.298566,,,,0.3376646,,
14,,0.05111609,,,0.5839909,,,0.23666674,0.07123418,0.044238284,
15,,0.08425836,0.20208162,,0.50867635,0.034580465,,,0.11666041,0.041646473,
16,,,0.15036525,0.15796639,0.4876631,0.11262726,,,,,0.06973444
17,,0.121247165,,,0.55631673,0.11459649,,0.16525468,0.028381335,,
18,,,0.120495014,0.019399151,0.38831568,,,0.2054038,0.20648216,0.043292027,
19,,,0.13235928,,0.536529,0.06966896,,,0.18085437,0.06253105,
20,,0.07012831,,0.040859707,0.3595291,,,0.4286567,0.08807274,,
21,,0.13543966,,,0.5357547,0.03945743,,,0.15792067,0.11807344,
22,,0.10650423,0.12764795,0.08571291,0.38540244,0.050085053,,0.22832352,,,
23,,0.22445595,,0.13210526,0.14905578,,,0.2930893,0.18493913,,
24,,0.02179535,0.115575895,0.05155345,0.6172725,0.04999564,,,,0.12968597,
25,,0.14769149,0.1128035,0.013508691,0.45545453,,,0.20301719,0.057723064,,
26,,,0.15884091,,0.6404513,0.04271992,,,,0.05876008,0.075435534
27,0.28555062,0.03551876,0.0752456,0.012383926,0.51084363,0.06749253,,,,,
28,0.17725053,0.26557475,0.041595865,0.21612294,0.1621206,,,,,,0.12939346
29,,,0.034205478,,0.7209161,0.09263242,,,0.0445587,,0.09612852
30,,0.08606372,0.07113277,0.14523017,0.39762047,0.027584802,,0.25948328,,,
31,,0.115869895,0.22870332,,0.47953862,0.07696654,,,,0.07795897,
32,,0.08075816,0.17538312,0.054376733,0.47725743,0.060661808,,0.13642408,,,
33,,0.123409845,,,0.33150324,,0.2052903,,0.14158122,0.17866406,
34,0.056651663,0.06109517,0.5026554,0.054076687,0.10589349,,,,0.17797914,0.034668468,
35,0.5202543,0.07344067,,,0.37395912,0.012209638,,,,,
36,,0.12160966,,,0.39572108,0.08607125,,0.2605658,0.116919115,,
37,,0.04229038,0.111660294,0.040176492,0.45930544,0.13338804,,0.12738441,0.07309621,,
38,,0.11727786,0.31766388,,0.43943715,,,0.10494752,,,
39,,0.03169432,0.17241186,0.05224824,0.4292181,,,,0.16416796,,0.14174397
40,0.06985819,0.064731784,0.41889757,,0.39183328,,,0.045113742,,,
41,0.08296565,0.10476623,,,0.5888329,,,,0.07839691,0.12495612,
42,,0.090368606,0.22397368,0.03433081,0.39009255,0.12912996,,,,0.1209898,
43,,0.06769807,0.062660046,,0.52938104,,,,0.24404044,0.08269374,
44,,0.06691215,0.5057426,0.044636495,0.22378707,0.07918719,,0.06942225,,,
45,0.36217326,,,,0.6271575,,,,,,
46,0.16559102,,0.07440571,0.07661346,0.662389,,,,,,
47,,0.11665591,0.2614948,0.01722984,0.34197953,0.05437393,,,0.1988482,,
48,,0.08853446,,,0.49367324,,,0.3015765,0.026748499,0.077486284,
49,,0.05289434,0.58737755,0.0356106,0.14747013,,,,0.17018417,,
50,,0.300552,,0.15413734,0.17420822,0.050877683,,0.1346386,0.10758136,,0.07218245
51,,0.06568414,0.21348292,0.08807102,0.4824652,0.13677076,,,,,
52,0.06268778,,0.21570894,0.07312562,0.45483953,0.17309336,,,,,
53,0.08273582,,,,0.5529118,0.11590493,,0.091698065,,0.0359914,0.108526014
54,,0.06773785,0.20037922,,0.4842507,0.090398975,,,,,0.13917537
55,,0.1978929,0.08078787,0.08525421,0.460352,,0.07112343,,,0.08502209,
56,,0.1310882,0.0827959,,0.33527544,0.061793312,,0.16259359,0.21603997,,
57,,0.06584437,0.11679266,0.49562842,0.16118866,0.028792862,,,0.072631,0.055600528,
58,,0.0434594,0.32108974,,0.32162046,0.021373238,,,0.25743642,0.026856499,
59,0.058849555,,0.2591976,0.023616765,0.52611846,,,,,0.03789593,0.07918138
60,,0.066677876,0.15457988,0.022306465,0.4811272,0.088648275,,,0.17819443,,
61,0.15296714,0.04730945,,0.096434005,0.2532381,0.040674288,,0.14258976,0.07668097,,0.17893092
62,,,0.11831583,0.04026883,0.4132967,0.08138798,,,0.09810867,0.0884277,0.15128493
63,,0.07845941,0.062297106,,0.42599577,,,,0.12157527,0.20073366,0.10046186
64,,,0.1919291,,0.5148523,0.049285784,,0.0845747,0.1510487,,
65,,0.06356649,0.06290299,0.046723787,0.4832597,,0.14945193,,,0.107533395,0.074823074
66,,0.06733376,0.31051955,,0.31320757,,0.18628095,,0.09883242,,
