Extracted Signatures,COSMIC Signature,Cosine Similarity
0,SBS1,
1,SBS1,
2,SBS1,
3,SBS1,
4,SBS1,
5,SBS1,
6,SBS1,
7,SBS1,
8,SBS1,
9,SBS1,
10,SBS1,
11,SBS1,0.9328240428448316
12,SBS1,
13,SBS1,
14,SBS1,
15,SBS1,
16,SBS1,
17,SBS1,
0,SBS2,
1,SBS2,
2,SBS2,
3,SBS2,
4,SBS2,
5,SBS2,0.8877489913317134
6,SBS2,
7,SBS2,
8,SBS2,
9,SBS2,
10,SBS2,
11,SBS2,
12,SBS2,
13,SBS2,
14,SBS2,
15,SBS2,
16,SBS2,
17,SBS2,
0,SBS3,
1,SBS3,
2,SBS3,0.8666192383116779
3,SBS3,
4,SBS3,
5,SBS3,
6,SBS3,
7,SBS3,
8,SBS3,
9,SBS3,
10,SBS3,
11,SBS3,
12,SBS3,
13,SBS3,
14,SBS3,
15,SBS3,
16,SBS3,
17,SBS3,
0,SBS5,0.8342380394378112
1,SBS5,
2,SBS5,
3,SBS5,
4,SBS5,
5,SBS5,
6,SBS5,
7,SBS5,
8,SBS5,
9,SBS5,
10,SBS5,
11,SBS5,
12,SBS5,
13,SBS5,
14,SBS5,
15,SBS5,
16,SBS5,
17,SBS5,
0,SBS6,
1,SBS6,0.8578599569535652
2,SBS6,
3,SBS6,
4,SBS6,
5,SBS6,
6,SBS6,
7,SBS6,
8,SBS6,
9,SBS6,
10,SBS6,
11,SBS6,0.8686817050915276
12,SBS6,
13,SBS6,
14,SBS6,
15,SBS6,
16,SBS6,
17,SBS6,
0,SBS16,
1,SBS16,
2,SBS16,
3,SBS16,0.9530803353608132
4,SBS16,
5,SBS16,
6,SBS16,
7,SBS16,
8,SBS16,
9,SBS16,
10,SBS16,
11,SBS16,
12,SBS16,
13,SBS16,
14,SBS16,
15,SBS16,
16,SBS16,
17,SBS16,
0,SBS18,
1,SBS18,
2,SBS18,
3,SBS18,
4,SBS18,
5,SBS18,
6,SBS18,
7,SBS18,
8,SBS18,
9,SBS18,
10,SBS18,
11,SBS18,
12,SBS18,
13,SBS18,
14,SBS18,
15,SBS18,0.9831678388420148
16,SBS18,
17,SBS18,
0,SBS29,
1,SBS29,
2,SBS29,
3,SBS29,
4,SBS29,
5,SBS29,
6,SBS29,
7,SBS29,
8,SBS29,
9,SBS29,
10,SBS29,
11,SBS29,
12,SBS29,
13,SBS29,
14,SBS29,
15,SBS29,0.8227544866415566
16,SBS29,
17,SBS29,
0,SBS36,
1,SBS36,
2,SBS36,
3,SBS36,
4,SBS36,
5,SBS36,
6,SBS36,
7,SBS36,
8,SBS36,
9,SBS36,
10,SBS36,
11,SBS36,
12,SBS36,
13,SBS36,
14,SBS36,
15,SBS36,0.9104791210879152
16,SBS36,
17,SBS36,
0,SBS40,0.8725738774304008
1,SBS40,
2,SBS40,0.8248030174623807
3,SBS40,
4,SBS40,
5,SBS40,
6,SBS40,
7,SBS40,
8,SBS40,
9,SBS40,
10,SBS40,
11,SBS40,
12,SBS40,
13,SBS40,
14,SBS40,
15,SBS40,
16,SBS40,
17,SBS40,
0,SBS46,
1,SBS46,
2,SBS46,
3,SBS46,
4,SBS46,
5,SBS46,
6,SBS46,
7,SBS46,
8,SBS46,
9,SBS46,
10,SBS46,
11,SBS46,
12,SBS46,
13,SBS46,
14,SBS46,
15,SBS46,
16,SBS46,
17,SBS46,0.8052650586688506
