,SBS1,SBS2,SBS3,SBS5,SBS6,SBS16,SBS18,SBS29,SBS36,SBS40,SBS46
0,,,,0.8342380394378112,,,,,,0.8725738774304008,
1,,,,,0.8578599569535652,,,,,,
2,,,0.8666192383116779,,,,,,,0.8248030174623807,
3,,,,,,0.9530803353608133,,,,,
4,,,,,,,,,,,
5,,0.8877489913317134,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,0.9328240428448317,,,,0.8686817050915276,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,0.9831678388420149,0.8227544866415566,0.9104791210879153,,
16,,,,,,,,,,,
17,,,,,,,,,,,0.8052650586688506
