topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS38,SBS40,SBS43,SBS45
0,,,0.8163663407392481,,0.8425457943744963,,,,,,0.8761834507815868,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,0.8593006399687758,
4,0.8688746015163854,,,,,,,,,,,,
5,,,,,0.8121794838015761,,,,,,0.8406760150268211,,
6,,,,,,,,,,0.8946222749371162,,,0.9343889542402585
7,,,,,,,0.8657601849594353,0.9648117443593384,,,,,
8,,,0.8161809265133999,0.9162700895912217,,,,,0.8128807806184117,,0.8260950669040721,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,0.823575952671065,,,,,,,,,,,
13,,,,,,0.8145337445525714,,,,,,,
