topic,SBS1,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS13,SBS38,SBS40,SBS43,SBS45
0,,,,,,,,,,,0.8614440570351917,,
1,,,,,,0.8885082661477595,0.9479489812118579,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,0.8940495850493282,,,0.9348491794436729
5,,,,,,,,,,,,0.8500797487683222,
6,,0.8209819711192876,0.9131134975116851,,,,,0.8259477852267951,,,0.8229993980206475,,
7,,,,,,,,,0.8918966098452994,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,0.9082565257834428,,,,0.8863288168546765,,,,,,,,
11,,0.8109211268960432,0.8213596232172738,,,,,,,,0.8709875299977812,,
12,,,,,,,,,,,,,
13,,,,0.8610917686665096,,,,,,,,,
