document,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.03984722,,0.03507457,0.7433919,,0.01619585,0.023148328,0.07418332,,0.01133544,,0.02129953,0.011838259,
1,0.026202066,0.7426554,0.043229584,0.032225154,,0.011728153,0.01564199,0.022849727,0.021462584,,0.010073635,0.018151162,0.024715453,0.021157075
2,0.03623933,0.71291375,0.010384376,0.015781298,0.056334496,0.012615936,0.010525568,0.033307936,0.016132578,0.012910676,0.042211585,0.01378123,,0.021501476
3,0.015534576,0.5872105,0.02813424,0.03000489,0.18751216,,0.0119456565,0.04185196,0.017556937,0.013063227,0.017353509,0.019482037,0.012210598,
4,0.019229138,0.68026125,0.02445439,0.03494242,,0.01800998,0.05324057,0.038710557,0.02063644,0.010008479,0.061032448,,0.017393842,0.010468287
5,0.22435355,0.18143372,0.025541175,0.053316124,,0.014656573,,0.10484835,0.044300865,0.014456864,0.1718801,0.028423836,0.013717824,0.108736135
6,0.09217821,0.01199064,0.022753578,0.05246448,0.22388715,0.029187461,0.03306468,0.3714283,0.019747267,0.019365212,0.06060508,0.013390395,0.028101722,0.021835847
7,0.06298498,0.014370865,0.019364655,0.02716106,0.017390078,0.102924295,0.1777962,0.05991952,0.021614486,0.09423601,0.2406845,0.09806966,0.018930672,0.044553027
8,0.4056339,0.010650526,0.046537038,0.050330974,0.023266759,0.017409775,0.021213436,0.22326519,0.02584095,0.016408743,0.011440762,0.104999706,0.02536921,0.017633049
9,0.018723037,0.017883077,0.021639183,0.018253695,0.027081626,0.41674033,0.07873176,0.05161955,0.027602462,0.03351541,0.1914366,0.026056958,0.010676435,0.06003987
10,,,,0.023144856,0.84611106,,,0.04777612,0.011394086,,0.014837897,,0.01851208,
11,,,,0.03193837,0.7878935,,,0.075532906,0.025046993,,,,0.027136013,
12,0.08878315,0.018596716,0.017831644,0.11829497,0.08894042,0.032684963,0.13515514,0.17789422,0.012083555,0.03325674,0.09776419,0.016392305,0.015506097,0.14681585
13,0.06477341,0.014735262,0.07977506,0.10494688,0.17663962,0.07582809,0.019451609,0.14786263,0.031164922,0.024518616,0.13511814,0.070602134,0.03856189,0.016021734
14,0.012973622,,0.14538188,0.0344684,0.017104255,0.14035456,0.021948243,0.030365776,,0.015405889,0.35827103,0.15397234,0.039272938,0.017198524
15,0.016841622,0.0117210075,0.06755817,0.058829896,0.05551026,0.034934927,0.11529349,0.05543177,0.06467314,0.028450787,0.3630531,0.081104,0.017524863,0.02907297
