topic,SBS1,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS15,SBS16,SBS38,SBS39,SBS40,SBS43,SBS45
0,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,0.8302684193315022,,,
3,,,,,,,,,,,,,0.8442617708024314,,
4,0.9089954928632168,,,,,,,,,,,,,,
5,,,,,,0.8594219878045048,0.9689114163053268,,,,,,,,
6,,,,,,,,,,,0.8961388131100055,,,,0.9317999372961415
7,,0.8133501603182185,0.903326250918712,,,,,0.8043603604327438,,,,,0.8393773905031365,,
8,,,,,,,,,,,,,,,
9,,,,0.8282719640469561,,,,,,,,,0.8277263821594132,,
10,,,,,,,,,,,,,,,
11,,,,,0.8569960582013327,,,,0.8317991546205963,,,,,,
12,,,,,,,,,,,,,,0.8727074136294622,
13,,,,,,,,,,0.8890757502197119,,,,,
