topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS7a,SBS7b,SBS8,SBS38,SBS40,SBS43,SBS45
0,,,,,,0.841830039607811,0.9749343127922624,,,,,
1,,,,,,,,,,0.8658684990910481,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,0.8262084902051645,0.9007925041206645,,,,0.8221411496021096,,0.8461551647421788,,
5,,,,,0.8445191299035903,,,,,0.834722169904635,,
6,,,,,,,,,,,,
7,,,,,,,,,,,0.8638032835158684,
8,0.855270390806886,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,0.8899763930521775,,,0.9349731740258844
12,,0.9686306779330055,,,,,,,,,,
13,,,,,,,,,,,,
