topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS18,SBS33,SBS36,SBS38,SBS40,SBS43,SBS45
0,,,,,,,,,,,,,,,0.8600036784645814,
1,,,0.8658877348197684,0.8457309071599993,,,,,0.8252873224691211,,,,,0.8582443936991808,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,,,,,0.8551189919443604,,,,,,,,,0.8219502722398195,,
5,,,,,,,,,,0.9176712196505754,,0.8113244403832464,,,,
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,0.8031192134797842,,,,,,,,,,,0.8703055579722235,,
9,,,,,,,0.8300088847792597,0.980234665122692,,,,,,,,
10,,,,,,,,,,,0.8297056177399553,,,,,
11,,0.9468976987208629,,,,,,,,,,,,,,
12,0.9428541349410149,,,,,0.8772540532252993,,,,,,,,,,
13,,,,,,,,,,,,,0.9137855215249469,,,0.954343210854718
