topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS13,SBS15,SBS33,SBS38,SBS40,SBS43,SBS45,SBS49
0,,0.8035877949707037,,,,,,,,,,,,,,,
1,,,,,0.8044860314206399,,,,,,,,,,,,
2,,,,,,,,,,,,0.9221391566031071,,,,,
3,,,,,,,,,,,,,,0.8069670659765656,,,
4,0.8645078714272559,,,,,0.9359562848064414,,,,,0.8207148237653228,,,,,,
5,,,,,,,,,,,,,,,0.8106031538534023,,
6,,,,,,,,,,0.9377303697372488,,,,,,,
7,,,,,,,0.826286675186339,0.9822218127951556,,,,,,,,,
8,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,0.8646616801229,,,0.9159644171600124,0.8008868782391825
10,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,
12,,,,,0.8295342770039009,,,,,,,,,,,,
13,,,0.820345063801544,0.909069506322676,,,,,0.8253974889438118,,,,,0.8289688485003232,,,
