topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS16,SBS38,SBS40,SBS43,SBS45
0,,,,,,,,,,,,,0.860094636725564,
1,,,,,,,0.8365405487650769,0.9767090684812713,,,,,,
2,,,,,,,,,,,0.9029353265388412,,,0.9375035811127082
3,,,,,,,,,,,,,,
4,,,,,,,,,,0.873614372647719,,,,
5,,,0.8191168947934263,,0.8479747429552928,,,,,,,0.8796352318386601,,
6,,,,,,,,,,,,,,
7,,0.9654624408405093,,,,,,,,,,,,
8,0.9045110991947358,,,,,0.8141783507462526,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,0.8333599131683187,0.8931606793485346,,,,,0.8197425665424963,,,0.8522891680293159,,
13,,,,,,,,,,,,,,
