topic,SBS1,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS10b,SBS31,SBS38,SBS40,SBS43,SBS45
0,,,,,,,,,,,,,0.8645282684045492,
1,,0.8315640729647635,0.8941235139089613,,,,,0.8239932544797557,,,,0.8522637324231087,,
2,,,,,,0.8855888892180378,0.8964048646767514,,,,,,,
3,,,,,,,,,0.868357159942304,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,0.8091234486692417,,,,
7,,,,0.870898420748649,,,,,,,,0.8473310435257017,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,0.9476739942865717,,,,0.8625299118012943,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,0.9053224222230155,,,0.9405629333860288
