topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS13,SBS15,SBS38,SBS40,SBS43,SBS45
0,,,,,,,,,,0.8070518054302476,,,,,
1,,,0.8220166387544787,0.9108900447288447,,,,,0.8245239382099397,,,,0.8332942050015226,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,0.8737891892117623,,,0.9277618415984312
4,,0.9593926063734882,,,,,,,,,,,,,
5,,,,,,,0.8198887673811066,0.9830541735817366,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,0.8764647078271257,,,,,,,,0.8125881052247247,,
9,,,,,,,,,,,,,,0.8619634756426972,
10,,,,,,,,,,,,,,,
11,0.883020769205138,,,,,,,,,,,,,,
12,,,,,,0.8216406606969183,,,,,0.8080023815807431,,,,
13,,,,,,,,,,,,,,,
