document,0,1,2,3,4,5,6,7,8,9,10,11
0,,,0.35073948,,,0.48998412,,,,0.13681637,,
1,,,,,,0.88587433,,0.09767048,,,,
2,,,,,,0.10610935,0.40951106,,,,,0.461338
3,,,,0.035232782,0.19995782,0.29687124,,,,0.4396104,,
4,,,0.37959224,,0.110533535,0.047801334,0.21940014,,,,,0.22047673
5,,0.23824361,,,,,,,,0.39954323,,0.33038008
6,0.1381298,0.3752159,0.39358795,0.06727311,,,,,,,,
7,,,0.18071038,,0.3548528,0.19572115,0.084020205,,,0.16003413,,
8,,,0.23029931,,0.13833989,,0.16833049,,,0.19722186,,0.2442084
9,,,0.392666,,,0.14162931,0.2682514,,,,,0.17135997
10,,,,,,,,,,,,0.9949099
11,,,0.23202963,,,,0.29382145,,,0.44653955,,
12,,0.20174676,,,,0.111335464,,,,0.6558903,,
13,,,0.12041109,,0.21527466,,,,,0.26944825,,0.37781227
14,,0.27505863,0.5483307,,0.12224781,,0.02902594,,,,,
15,,,,0.02252549,,,0.20058808,,,,,0.7709077
16,,,0.29818004,,,,0.3294888,,,0.3459926,,
17,,0.047926094,,,0.07166611,0.16856398,,,,0.5635945,,0.12740204
18,,,0.19313116,,,,0.24511798,,,0.30106422,,0.23825848
19,,,,,,,,,,0.46272594,,0.5018758
20,,,0.30557293,,,,,,,0.659091,,
21,,,,,,0.77997404,,,,0.21511619,,
22,,,,,,0.13076171,0.16789645,,,0.674021,,
23,,0.5229187,,,0.26639095,0.16208279,,,,0.02328459,,
24,,,,0.04487289,0.24568611,0.2402143,0.14024812,,,0.16558158,,0.14486988
25,,,,,0.19739972,,,,,0.5061192,,0.2704221
26,,0.18670307,0.34203494,,,,0.16023542,,,0.16757509,,0.11985137
27,,0.26188347,0.324603,,,,0.14304481,,,0.2424144,,
28,,,0.1622669,,0.084282406,,,,,0.47194073,,0.2588992
29,,,,,,0.16335385,,0.35998696,,0.4482654,,
30,,0.49002284,,,0.094766974,,0.2986851,,,,0.045695186,0.054165404
31,,,0.4441351,0.021153301,,,,0.08006627,,0.22981724,,0.20238502
32,,,0.54290193,0.03394765,0.1420585,0.25569835,,,,,,
33,,0.2669556,0.21142828,0.043696962,,,,,,0.32927814,,0.12736566
34,,0.57337666,,,,0.086076386,,,,0.3101888,,
35,,0.1763468,0.54286826,,,,,,,0.2529931,,
36,,,0.37104285,0.05636598,,,,0.267822,,,,0.27964458
37,,,0.24488822,,,0.1260735,0.13175072,,,0.47192374,,
38,,,0.2068993,,,,,0.21076006,,0.39284745,,0.1632901
39,,,0.4038443,,0.3248029,,,,,0.24422567,,
40,,0.28100973,0.13485284,0.057894215,,,,,,0.50660014,,
41,,,0.6497247,,,0.06834921,,,,,,0.25473252
42,,0.56694144,0.26626432,,,0.13728754,,,,,,
43,0.020996427,0.24354574,0.09793479,,0.098405614,0.15213399,0.12422485,,,,0.17268063,0.089802295
44,0.24119835,0.17950493,0.036946647,,0.06874902,,0.010309117,0.026370255,0.010010338,0.021440346,0.12534986,0.27999172
45,0.15643187,0.1699164,0.09454195,,0.19030304,,,0.10563102,0.020668827,0.03804703,0.22376032,
46,,0.23430568,,0.021868613,0.06355867,0.05169775,,,,0.22656499,0.3062291,0.090472765
47,,,,,,0.058349397,0.021217143,,,,0.913375,
48,,,,,,,,,,,0.9144776,0.080538735
49,,0.19287838,,0.06528208,0.1447316,,,0.13214721,0.0422692,0.17125668,0.16682962,0.08374207
50,,0.23187935,,0.014810029,0.14142555,,,0.10201341,,0.27728313,0.056397554,0.1748867
51,,0.14391899,,,0.35018772,,,0.099979445,,0.1917144,0.21079248,
52,0.022011168,,0.050007056,0.21516226,0.17086208,0.013706346,0.05357502,0.08144886,0.11299763,0.14569344,0.0612991,0.06715284
53,,,,0.61090404,,,,,0.2688394,,,0.11910443
