topic,SBS3,SBS4,SBS5,SBS18,SBS22,SBS40,SBS57
0,0.8679476157582687,,,,,0.826725232871019,
1,,0.8429308857718378,,0.8236961390153471,,0.8435778053246944,
2,0.8679476157582687,,,,,0.826725232871019,
3,0.8679476157582687,,,,,0.826725232871019,
4,,,,,,,0.989137773712703
5,,,0.8085206874183494,,,0.872629280453221,
6,0.8212119576961222,,0.8628481639774032,,,,
7,0.8446405557915398,,0.8383484522552932,,,0.9434207925080343,
8,,,,,,,
9,,,,,0.9815193110387128,,
10,0.8344322862576605,,0.8725605268125226,,,0.8538132873379274,
11,0.8314259096592962,,0.8174644052843331,,,0.941558921987076,
