topic,SBS3,SBS5,SBS6,SBS12,SBS22,SBS39,SBS40,SBS45,SBS57
0,,,,,,,,0.8235625417413157,
1,0.8647600366310637,0.8783841046136878,,,,,0.9363822607016229,,
2,0.83174117458703,0.8203431777185657,,,,,0.9388558083115314,,
3,,,,,,,,,
4,,,0.8029236339406358,,,,,,
5,,,,,,,,,
6,,,,,,,,,0.9921527334081011
7,,0.8847266318033583,,0.8331422120712644,,,,,
8,0.8208033022334655,,,,,,0.9184691779046497,,
9,0.8691049213962215,,,,,0.8218635697490433,0.8722823303875014,,
10,,0.8859742607693473,,,,,,,
11,,,,,0.9907431856514857,,,,
