topic,SBS3,SBS5,SBS12,SBS22,SBS39,SBS40,SBS45,SBS57
0,,,,,,0.8240939672859019,,0.8334189771386904
1,,0.8549640934679604,0.8445368551183212,,,,,
2,,,,,,,,
3,0.8274275912078527,,,,,0.9331858857989437,,
4,,,,0.86186304863238,,,,
5,0.8704287793314626,0.902674301908394,,,,0.8505746654583068,,
6,,,,,,,0.8347371844765109,
7,0.8729699587199142,,,,0.8462348692912379,0.871592661616949,,
8,0.8683065455208803,,,,,0.8269228363025287,,
9,,,,,,,,
10,,,,0.9914520003483559,,,,
11,0.8320388794958066,0.8701964966932769,,,,0.9268197285665717,,
