Extracted Signatures,COSMIC Signature,Cosine Similarity
0,SBS3,
1,SBS3,
2,SBS3,
3,SBS3,
4,SBS3,
5,SBS3,0.8681353280550359
6,SBS3,0.8581949190172269
7,SBS3,
8,SBS3,
9,SBS3,
10,SBS3,
0,SBS5,
1,SBS5,
2,SBS5,
3,SBS5,0.8832412878205675
4,SBS5,
5,SBS5,
6,SBS5,0.8713556216414764
7,SBS5,
8,SBS5,
9,SBS5,
10,SBS5,
0,SBS6,
1,SBS6,
2,SBS6,
3,SBS6,
4,SBS6,0.8021539073385369
5,SBS6,
6,SBS6,
7,SBS6,
8,SBS6,
9,SBS6,
10,SBS6,
0,SBS12,
1,SBS12,
2,SBS12,
3,SBS12,0.8339567839485903
4,SBS12,
5,SBS12,
6,SBS12,
7,SBS12,
8,SBS12,
9,SBS12,
10,SBS12,
0,SBS22,
1,SBS22,
2,SBS22,0.9415587463017304
3,SBS22,
4,SBS22,
5,SBS22,
6,SBS22,
7,SBS22,
8,SBS22,
9,SBS22,
10,SBS22,
0,SBS40,
1,SBS40,
2,SBS40,
3,SBS40,
4,SBS40,
5,SBS40,0.8267576412019013
6,SBS40,0.95995070567558
7,SBS40,
8,SBS40,
9,SBS40,
10,SBS40,
0,SBS45,
1,SBS45,
2,SBS45,
3,SBS45,
4,SBS45,
5,SBS45,
6,SBS45,
7,SBS45,
8,SBS45,0.8287185717635012
9,SBS45,
10,SBS45,
0,SBS57,
1,SBS57,
2,SBS57,
3,SBS57,
4,SBS57,
5,SBS57,
6,SBS57,
7,SBS57,0.9797678302974768
8,SBS57,
9,SBS57,
10,SBS57,
